ID,task,ResponseID,StartDate,EndDate,finished,mturkcode,ATNT_WARN,FEMALE,AGE,ETHNICITY,ETHNICITY_OTHER,MARITAL,EDUC,POLAFFIL,POLAFFIL_OTHER,SES,RELIG,RELIG_OTHER,RELIG_ATTEND,CRIMEVIC,KNOW_CRIMEVIC,AMMSA1,AMMSA2,AMMSA3,AMMSA4,AMMSA5,AMMSA6,AMMSA7,AMMSA8,AMMSA9,AMMSA10,AMMSA11,ASS1,ASS2,ASS3,ASS4,ASS5,ASS6,ASS7,ASS8,ASS9,ASS10,ASS11,SELFMON1,SELFMON2,SELFMON3,PARTY,PARK,HOME,WORK,CLUB,VIC_FEMALE,VIC_MALE,VIC_BLACK,VIC_WHITE,VIC_SINGLE,VIC_MARRIED,VIC_PARTNERS,VIC_NORECORD,VIC_FELONY,PERP_BLACK,PERP_WHITE,PERP_WORKER,PERP_BUSINESS,PERP_ATHLETE,PERP_ACQUAIN,PERP_STRANGER,CHOICE_REPORT,CHOICE_PUNISH,SEVERITY,BLAME_VIC,BLAME_PERP,REPORT,PUNISH,RAPE,ROBBERY,AMMSA_SCORE,ASS_SCORE,SELFMON_SCORE,starttime2,endtime2,DURATION,PERP1_HISPAN,PERP2_HISPAN,CHOSEN,CASE1,LOCATION,OUTFIT,VIC_MARITAL,VIC_SEX,VIC_ETHN,VIC_CRIMINAL,PERP_ETHN,PERP_PROF,PERP_RELATION
3,1,R_1MQaRlAvKhLyF5N,2016-12-16 11:28:50,2016-12-16 11:32:15,1,30574,1,Male,35,Caucasian,,Married,Bachelor’s Degree,Democrat,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,,,,,,,,,,,,1,1,1,1,1,4,1,4,1,1,1,1,3,3,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,,2,4,1,7,0,1,,1,,1.5454545,2.3333333,16dec2016 11:28:50,16dec2016 11:32:15,00:03:25,,,1,0,Location: Park,Outfit:  Night Club,Victim: Multiple Partners,Victim: Female,Victim: Black,Victim: minor felony Record,Perpetrator: White,Perpetrator: Business man,Perpetrator: Stranger
3,2,R_1MQaRlAvKhLyF5N,2016-12-16 11:28:50,2016-12-16 11:32:15,1,30574,1,Male,35,Caucasian,,Married,Bachelor’s Degree,Democrat,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,,,,,,,,,,,,1,1,1,1,1,4,1,4,1,1,1,1,3,3,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,,2,5,1,7,0,1,,1,,1.5454545,2.3333333,16dec2016 11:28:50,16dec2016 11:32:15,00:03:25,,,1,0,Location: Home,Outfit:  Night Club,Victim: Multiple Partners,Victim: Male,Victim: Black,Victim: No criminal record,Perpetrator: White,Perpetrator: Business man,Perpetrator: Stranger
3,3,R_1MQaRlAvKhLyF5N,2016-12-16 11:28:50,2016-12-16 11:32:15,1,30574,1,Male,35,Caucasian,,Married,Bachelor’s Degree,Democrat,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,,,,,,,,,,,,1,1,1,1,1,4,1,4,1,1,1,1,3,3,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,,1,4,1,7,0,1,,1,,1.5454545,2.3333333,16dec2016 11:28:50,16dec2016 11:32:15,00:03:25,,,0,0,Location: Park,Outfit: Work Attire,Victim: Single,Victim: Female,Victim: Black,Victim: No criminal record,Perpetrator: Black,Perpetrator: Worker,Perpetrator: Stranger
3,4,R_1MQaRlAvKhLyF5N,2016-12-16 11:28:50,2016-12-16 11:32:15,1,30574,1,Male,35,Caucasian,,Married,Bachelor’s Degree,Democrat,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,,,,,,,,,,,,1,1,1,1,1,4,1,4,1,1,1,1,3,3,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,,1,4,1,7,0,1,,1,,1.5454545,2.3333333,16dec2016 11:28:50,16dec2016 11:32:15,00:03:25,,,0,0,Location: Party,Outfit: Work Attire,Victim: Married,Victim: Male,Victim: Black,Victim: minor felony Record,Perpetrator: Black,Perpetrator: Worker,Perpetrator: Acquaintance
3,5,R_1MQaRlAvKhLyF5N,2016-12-16 11:28:50,2016-12-16 11:32:15,1,30574,1,Male,35,Caucasian,,Married,Bachelor’s Degree,Democrat,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,,,,,,,,,,,,1,1,1,1,1,4,1,4,1,1,1,1,3,3,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,,2,5,1,7,0,1,,1,,1.5454545,2.3333333,16dec2016 11:28:50,16dec2016 11:32:15,00:03:25,,,1,0,Location: Home,Outfit:  Night Club,Victim: Single,Victim: Male,Victim: Black,Victim: No criminal record,Perpetrator: Black,Perpetrator: Business man,Perpetrator: Acquaintance
4,1,R_1QcrC7uyu7HQN5W,2016-12-16 11:25:15,2016-12-16 11:35:40,1,54885,1,Male,27,Caucasian,,Married,Associates Degree,Independent,,Working Class,Other,"Spiritual, Not Religious",Never,1,1,3,4,4,2,4,2,3,3,5,3,4,,,,,,,,,,,,2,3,2,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,2,,6,1,6,1,0,1,,3.3636363,,2.3333333,16dec2016 11:25:15,16dec2016 11:35:40,00:10:25,,,1,0,Location: Home,Outfit:  Night Club,Victim: Single,Victim: Male,Victim: Black,Victim: No criminal record,Perpetrator: White,Perpetrator: Worker,Perpetrator: Acquaintance
4,2,R_1QcrC7uyu7HQN5W,2016-12-16 11:25:15,2016-12-16 11:35:40,1,54885,1,Male,27,Caucasian,,Married,Associates Degree,Independent,,Working Class,Other,"Spiritual, Not Religious",Never,1,1,3,4,4,2,4,2,3,3,5,3,4,,,,,,,,,,,,2,3,2,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,,5,3,6,1,0,1,,3.3636363,,2.3333333,16dec2016 11:25:15,16dec2016 11:35:40,00:10:25,,,0,0,Location: Home,Outfit: Work Attire,Victim: Multiple Partners,Victim: Male,Victim: White,Victim: No criminal record,Perpetrator: White,Perpetrator: Business man,Perpetrator: Stranger
4,3,R_1QcrC7uyu7HQN5W,2016-12-16 11:25:15,2016-12-16 11:35:40,1,54885,1,Male,27,Caucasian,,Married,Associates Degree,Independent,,Working Class,Other,"Spiritual, Not Religious",Never,1,1,3,4,4,2,4,2,3,3,5,3,4,,,,,,,,,,,,2,3,2,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,,6,1,6,1,0,1,,3.3636363,,2.3333333,16dec2016 11:25:15,16dec2016 11:35:40,00:10:25,,,0,0,Location: Party,Outfit: Work Attire,Victim: Multiple Partners,Victim: Female,Victim: White,Victim: minor felony Record,Perpetrator: White,Perpetrator: Worker,Perpetrator: Stranger
4,4,R_1QcrC7uyu7HQN5W,2016-12-16 11:25:15,2016-12-16 11:35:40,1,54885,1,Male,27,Caucasian,,Married,Associates Degree,Independent,,Working Class,Other,"Spiritual, Not Religious",Never,1,1,3,4,4,2,4,2,3,3,5,3,4,,,,,,,,,,,,2,3,2,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,,7,1,7,1,0,1,,3.3636363,,2.3333333,16dec2016 11:25:15,16dec2016 11:35:40,00:10:25,,,0,0,Location: Party,Outfit:  Night Club,Victim: Married,Victim: Female,Victim: Black,Victim: minor felony Record,Perpetrator: Black,Perpetrator: Business man,Perpetrator: Acquaintance
4,5,R_1QcrC7uyu7HQN5W,2016-12-16 11:25:15,2016-12-16 11:35:40,1,54885,1,Male,27,Caucasian,,Married,Associates Degree,Independent,,Working Class,Other,"Spiritual, Not Religious",Never,1,1,3,4,4,2,4,2,3,3,5,3,4,,,,,,,,,,,,2,3,2,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,2,,7,1,7,1,0,1,,3.3636363,,2.3333333,16dec2016 11:25:15,16dec2016 11:35:40,00:10:25,,,1,0,Location: Home,Outfit: Work Attire,Victim: Single,Victim: Female,Victim: Black,Victim: minor felony Record,Perpetrator: White,Perpetrator: Athlete,Perpetrator: Acquaintance
5,1,R_ZFbCz7YkfoJ8OtP,2016-12-16 11:31:37,2016-12-16 11:42:12,1,26258,1,Male,22,Caucasian,,Married,Bachelor’s Degree,Democrat,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,,,,,,,,,,,,2,4,3,4,3,2,2,3,3,2,3,2,3,3,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,,6,1,7,1,0,,1,,2.8181818,2.6666667,16dec2016 11:31:37,16dec2016 11:42:12,00:10:35,,,0,0,Location: Party,Outfit: Work Attire,Victim: Multiple Partners,Victim: Male,Victim: White,Victim: minor felony Record,Perpetrator: White,Perpetrator: Athlete,Perpetrator: Acquaintance
5,2,R_ZFbCz7YkfoJ8OtP,2016-12-16 11:31:37,2016-12-16 11:42:12,1,26258,1,Male,22,Caucasian,,Married,Bachelor’s Degree,Democrat,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,,,,,,,,,,,,2,4,3,4,3,2,2,3,3,2,3,2,3,3,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,2,,7,1,7,1,0,,1,,2.8181818,2.6666667,16dec2016 11:31:37,16dec2016 11:42:12,00:10:35,,,1,0,Location: Park,Outfit: Work Attire,Victim: Single,Victim: Female,Victim: White,Victim: No criminal record,Perpetrator: Black,Perpetrator: Business man,Perpetrator: Acquaintance
5,3,R_ZFbCz7YkfoJ8OtP,2016-12-16 11:31:37,2016-12-16 11:42:12,1,26258,1,Male,22,Caucasian,,Married,Bachelor’s Degree,Democrat,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,,,,,,,,,,,,2,4,3,4,3,2,2,3,3,2,3,2,3,3,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,,7,1,7,1,0,,1,,2.8181818,2.6666667,16dec2016 11:31:37,16dec2016 11:42:12,00:10:35,,,0,0,Location: Park,Outfit:  Night Club,Victim: Single,Victim: Female,Victim: White,Victim: minor felony Record,Perpetrator: Black,Perpetrator: Business man,Perpetrator: Stranger
5,4,R_ZFbCz7YkfoJ8OtP,2016-12-16 11:31:37,2016-12-16 11:42:12,1,26258,1,Male,22,Caucasian,,Married,Bachelor’s Degree,Democrat,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,,,,,,,,,,,,2,4,3,4,3,2,2,3,3,2,3,2,3,3,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,,7,1,7,1,0,,1,,2.8181818,2.6666667,16dec2016 11:31:37,16dec2016 11:42:12,00:10:35,,,0,0,Location: Park,Outfit:  Night Club,Victim: Married,Victim: Female,Victim: White,Victim: No criminal record,Perpetrator: Black,Perpetrator: Business man,Perpetrator: Stranger
5,5,R_ZFbCz7YkfoJ8OtP,2016-12-16 11:31:37,2016-12-16 11:42:12,1,26258,1,Male,22,Caucasian,,Married,Bachelor’s Degree,Democrat,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,,,,,,,,,,,,2,4,3,4,3,2,2,3,3,2,3,2,3,3,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,,7,1,7,1,0,,1,,2.8181818,2.6666667,16dec2016 11:31:37,16dec2016 11:42:12,00:10:35,,,0,0,Location: Home,Outfit:  Night Club,Victim: Single,Victim: Female,Victim: White,Victim: minor felony Record,Perpetrator: Black,Perpetrator: Business man,Perpetrator: Acquaintance
6,1,R_3Pc3ugXtiKAkGSL,2016-12-16 11:36:33,2016-12-16 11:43:02,1,35640,1,Male,44,Caucasian,,2,High School Diploma,Republican,,Lower Middle Class,Protestant,,Once a Week,0,2,2,4,6,4,3,1,3,4,2,3,3,,,,,,,,,,,,1,1,3,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,,2,7,1,7,0,1,,1,3.1818182,,1.6666666,16dec2016 11:36:33,16dec2016 11:43:02,00:06:29,,,1,0,Location: Park,Outfit: Work Attire,Victim: Married,Victim: Male,Victim: White,Victim: No criminal record,Perpetrator: White,Perpetrator: Athlete,Perpetrator: Acquaintance
6,2,R_3Pc3ugXtiKAkGSL,2016-12-16 11:36:33,2016-12-16 11:43:02,1,35640,1,Male,44,Caucasian,,2,High School Diploma,Republican,,Lower Middle Class,Protestant,,Once a Week,0,2,2,4,6,4,3,1,3,4,2,3,3,,,,,,,,,,,,1,1,3,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,,2,7,1,7,0,1,,1,3.1818182,,1.6666666,16dec2016 11:36:33,16dec2016 11:43:02,00:06:29,,,1,0,Location: Party,Outfit: Work Attire,Victim: Multiple Partners,Victim: Female,Victim: White,Victim: No criminal record,Perpetrator: Black,Perpetrator: Athlete,Perpetrator: Stranger
6,3,R_3Pc3ugXtiKAkGSL,2016-12-16 11:36:33,2016-12-16 11:43:02,1,35640,1,Male,44,Caucasian,,2,High School Diploma,Republican,,Lower Middle Class,Protestant,,Once a Week,0,2,2,4,6,4,3,1,3,4,2,3,3,,,,,,,,,,,,1,1,3,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,,1,7,1,7,0,1,,1,3.1818182,,1.6666666,16dec2016 11:36:33,16dec2016 11:43:02,00:06:29,,,0,0,Location: Party,Outfit:  Night Club,Victim: Single,Victim: Female,Victim: White,Victim: No criminal record,Perpetrator: White,Perpetrator: Worker,Perpetrator: Stranger
6,4,R_3Pc3ugXtiKAkGSL,2016-12-16 11:36:33,2016-12-16 11:43:02,1,35640,1,Male,44,Caucasian,,2,High School Diploma,Republican,,Lower Middle Class,Protestant,,Once a Week,0,2,2,4,6,4,3,1,3,4,2,3,3,,,,,,,,,,,,1,1,3,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,,2,7,1,7,0,1,,1,3.1818182,,1.6666666,16dec2016 11:36:33,16dec2016 11:43:02,00:06:29,,,1,0,Location: Park,Outfit:  Night Club,Victim: Single,Victim: Female,Victim: Black,Victim: No criminal record,Perpetrator: Black,Perpetrator: Worker,Perpetrator: Stranger
6,5,R_3Pc3ugXtiKAkGSL,2016-12-16 11:36:33,2016-12-16 11:43:02,1,35640,1,Male,44,Caucasian,,2,High School Diploma,Republican,,Lower Middle Class,Protestant,,Once a Week,0,2,2,4,6,4,3,1,3,4,2,3,3,,,,,,,,,,,,1,1,3,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,,1,7,1,7,0,1,,1,3.1818182,,1.6666666,16dec2016 11:36:33,16dec2016 11:43:02,00:06:29,,,0,0,Location: Park,Outfit:  Night Club,Victim: Multiple Partners,Victim: Male,Victim: White,Victim: minor felony Record,Perpetrator: White,Perpetrator: Business man,Perpetrator: Acquaintance
7,1,R_2e3btClTIPbMsVR,2016-12-16 11:39:50,2016-12-16 11:43:46,1,79116,1,Male,29,Caucasian,,Married,Some College,Republican,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,3,4,5,4,3,2,3,4,5,4,3,,,,,,,,,,,,2,2,2,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,,2,5,1,5,0,1,,1,3.6363637,,2,16dec2016 11:39:50,16dec2016 11:43:46,00:03:56,,,1,0,Location: Park,Outfit:  Night Club,Victim: Married,Victim: Male,Victim: White,Victim: No criminal record,Perpetrator: White,Perpetrator: Business man,Perpetrator: Stranger
7,2,R_2e3btClTIPbMsVR,2016-12-16 11:39:50,2016-12-16 11:43:46,1,79116,1,Male,29,Caucasian,,Married,Some College,Republican,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,3,4,5,4,3,2,3,4,5,4,3,,,,,,,,,,,,2,2,2,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,,2,5,1,7,0,1,,1,3.6363637,,2,16dec2016 11:39:50,16dec2016 11:43:46,00:03:56,,,1,0,Location: Party,Outfit: Work Attire,Victim: Single,Victim: Female,Victim: Black,Victim: minor felony Record,Perpetrator: Black,Perpetrator: Business man,Perpetrator: Acquaintance
7,3,R_2e3btClTIPbMsVR,2016-12-16 11:39:50,2016-12-16 11:43:46,1,79116,1,Male,29,Caucasian,,Married,Some College,Republican,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,3,4,5,4,3,2,3,4,5,4,3,,,,,,,,,,,,2,2,2,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,,1,6,1,7,0,1,,1,3.6363637,,2,16dec2016 11:39:50,16dec2016 11:43:46,00:03:56,,,0,0,Location: Home,Outfit: Work Attire,Victim: Multiple Partners,Victim: Female,Victim: White,Victim: No criminal record,Perpetrator: White,Perpetrator: Athlete,Perpetrator: Acquaintance
7,4,R_2e3btClTIPbMsVR,2016-12-16 11:39:50,2016-12-16 11:43:46,1,79116,1,Male,29,Caucasian,,Married,Some College,Republican,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,3,4,5,4,3,2,3,4,5,4,3,,,,,,,,,,,,2,2,2,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,,2,4,1,7,0,1,,1,3.6363637,,2,16dec2016 11:39:50,16dec2016 11:43:46,00:03:56,,,1,0,Location: Home,Outfit:  Night Club,Victim: Multiple Partners,Victim: Female,Victim: Black,Victim: No criminal record,Perpetrator: Black,Perpetrator: Athlete,Perpetrator: Stranger
7,5,R_2e3btClTIPbMsVR,2016-12-16 11:39:50,2016-12-16 11:43:46,1,79116,1,Male,29,Caucasian,,Married,Some College,Republican,,Lower Middle Class,Atheist/Agnostic,,Never,0,2,3,4,5,4,3,2,3,4,5,4,3,,,,,,,,,,,,2,2,2,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,,1,4,1,7,0,1,,1,3.6363637,,2,16dec2016 11:39:50,16dec2016 11:43:46,00:03:56,,,0,0,Location: Home,Outfit:  Night Club,Victim: Married,Victim: Male,Victim: White,Victim: No criminal record,Perpetrator: Black,Perpetrator: Athlete,Perpetrator: Acquaintance
8,1,R_10Nt25AitiPE8Or,2016-12-16 11:39:30,2016-12-16 11:47:50,1,49010,1,Female,33,Caucasian,,Married,Bachelor’s Degree,Democrat,,Lower Middle Class,Atheist/Agnostic,,Never,0,1,,,,,,,,,,,,2,2,2,2,4,2,1,1,1,1,1,2,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,,2,6,1,7,0,1,,1,,1.7272727,1.3333334,16dec2016 11:39:30,16dec2016 11:47:50,00:08:20,,,1,0,Location: Home,Outfit: Work Attire,Victim: Married,Victim: Female,Victim: Black,Victim: minor felony Record,Perpetrator: White,Perpetrator: Athlete,Perpetrator: Acquaintance
8,2,R_10Nt25AitiPE8Or,2016-12-16 11:39:30,2016-12-16 11:47:50,1,49010,1,Female,33,Caucasian,,Married,Bachelor’s Degree,Democrat,,Lower Middle Class,Atheist/Agnostic,,Never,0,1,,,,,,,,,,,,2,2,2,2,4,2,1,1,1,1,1,2,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,,2,6,1,7,0,1,,1,,1.7272727,1.3333334,16dec2016 11:39:30,16dec2016 11:47:50,00:08:20,,,1,0,Location: Park,Outfit:  Night Club,Victim: Married,Victim: Male,Victim: Black,Victim: No criminal record,Perpetrator: White,Perpetrator: Athlete,Perpetrator: Acquaintance
